id,name,link,image
1,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,
2,Paragon Restaurant - Since 1939,https://www.zomato.com/bangalore/paragon-restaurant-since-1939-st-marks-road-bangalore/order,
3,EasyBites By Empire,https://www.zomato.com/bangalore/easybites-by-empire-frazer-town-bangalore/order,
4,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/60551/60afc26a8d420799fc8bc7e27c968951_o2_featured_v2.jpg?output-format=webp
5,Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,https://b.zmtcdn.com/data/pictures/chains/1/50691/92d9b4053ef0965120828b4fa4eecc3b_o2_featured_v2.jpg?output-format=webp
6,Kannur Food Point,https://www.zomato.com/bangalore/kannur-food-point-btm/order,https://b.zmtcdn.com/data/pictures/chains/2/57282/2e488a2fdd92381877295b81802c1a33_o2_featured_v2.jpg?output-format=webp
7,KFC,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/50574/a5a3f392f14b0b93d8bb05956352326e_o2_featured_v2.jpg?output-format=webp
8,RNR Biryani - Taste Of 1953,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-1-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/7/20246497/2b6f80091e6478fad73c73f5dca84270_o2_featured_v2.jpg?output-format=webp
9,Paratha Envy,https://www.zomato.com/bangalore/paratha-envy-koramangala-6th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/18994874/a3c57a8339f66d906c225527c88a9854_o2_featured_v2.jpg?output-format=webp
10,Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,
11,Burger King,https://www.zomato.com/bangalore/burger-king-commercial-street/order,
12,McDonald's,https://www.zomato.com/bangalore/mcdonalds-mg-road/order,
13,Mani's Dum Biryani,https://www.zomato.com/bangalore/manis-dum-biryani-ulsoor/order,https://b.zmtcdn.com/data/pictures/chains/3/50643/cf4980e9a955625c8ab8bf5c171ba98a_o2_featured_v2.jpg
14,Nandhana Palace,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,https://b.zmtcdn.com/data/pictures/5/50715/011d3ade7fbf4a5033ac331087f0f90b_o2_featured_v2.jpg
15,A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/5/20279385/8e81b350b339e67c0aadf93277c4eb83_o2_featured_v2.jpg
16,Thalassery Restaurant,https://www.zomato.com/bangalore/thalassery-restaurant-koramangala-5th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/5/20963405/ef8ebfd27de07101b1ea184c89f824f3_o2_featured_v2.jpg
17,Al-Bek,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,https://b.zmtcdn.com/data/pictures/chains/6/50036/c5e37d1690f8c195bcc9f58ae609a2dc_o2_featured_v2.jpg
18,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,https://b.zmtcdn.com/data/pictures/chains/9/51039/e3e149c669fa5d2e3f57221a2c394697_o2_featured_v2.jpg
19,Polar Bear,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order,https://b.zmtcdn.com/data/pictures/chains/2/50812/21c544e626cbf40a91c8b236014b2682_o2_featured_v2.jpg
20,Kanti Sweets,https://www.zomato.com/bangalore/kanti-sweets-cunningham-road/order,https://b.zmtcdn.com/data/pictures/chains/0/50550/3028ae83d6b6a3450c0a93c83b20f949_o2_featured_v2.jpg
21,Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-richmond-town-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/51983/cac8f99bc1b9c299e4283cc2722e22ed_o2_featured_v2.jpg
22,FreshMenu,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,https://b.zmtcdn.com/data/pictures/chains/9/59179/5f7bf812d94df2066e492e7f5ab7dcb6_o2_featured_v2.jpg
23,Beijing Bites,https://www.zomato.com/bangalore/beijing-bites-richmond-road/order,https://b.zmtcdn.com/data/pictures/chains/2/50112/c4aca0118053549e762faa92c378e36e_o2_featured_v2.jpg
24,Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-thippasandra-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/51139/5b7c92446f60085ca135c91cac8b5a54_o2_featured_v2.jpg
25,Five Star Chicken,https://www.zomato.com/bangalore/five-star-chicken-richmond-road-bangalore/order,
26,La Pino'z Pizza,https://www.zomato.com/bangalore/la-pinoz-pizza-frazer-town-bangalore/order,
27,Corner House Ice Creams,https://www.zomato.com/bangalore/corner-house-ice-creams-residency-road-bangalore/order,
28,Imperial Restaurant - Since 1954,https://www.zomato.com/bangalore/imperial-restaurant-since-1954-residency-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/50502/7a0aa9db2460a1da9d8dd346ad732c4e_o2_featured_v2.jpg
29,Bakingo,https://www.zomato.com/bangalore/bakingo-vasanth-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/18655281/2b35fdc7371dcd5de45f691dcafec66c_o2_featured_v2.jpg
30,Sharief Bhai,https://www.zomato.com/bangalore/sharief-bhai-frazer-town-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/18613656/d3076b5ba74eeab01fc7491493b5bf7a_o2_featured_v2.jpg
31,Onesta,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,https://b.zmtcdn.com/data/pictures/6/20525316/56943981f20d1fdc7117583c79e2414e_o2_featured_v2.jpg
32,California Burrito,https://www.zomato.com/bangalore/california-burrito-malleshwaram/order,https://b.zmtcdn.com/data/pictures/chains/2/53922/2cc325e095dfa78bf99324794c0739fa_o2_featured_v2.jpg
33,Hyderabad Biryaani House - Since 2003,https://www.zomato.com/bangalore/hyderabad-biryaani-house-since-2003-richmond-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/50492/a953f8fa0a160a947dd5a3b82dae8b5e_o2_featured_v2.jpg
34,Nandhini Deluxe,https://www.zomato.com/bangalore/nandhini-deluxe-st-marks-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/50714/527f3baa5ed9aa3a739c36f9fc410404_o2_featured_v2.jpg
35,Chickpet Donne Biryani House,https://www.zomato.com/bangalore/chickpet-donne-biryani-house-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/18414356/522c841b508bc12db4802df4fdd88b18_o2_featured_v2.jpg
36,CakeZone Patisserie,https://www.zomato.com/bangalore/cakezone-patisserie-hosur-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/7/18379377/0f3eef86f5391552cd1f389134898131_o2_featured_v2.jpg
37,Namaste,https://www.zomato.com/bangalore/namaste-malleshwaram-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/18924790/2bb03e756465e70fee66ed043a4fa6f0_o2_featured_v2.jpeg
38,Wendy's Burgers,https://www.zomato.com/bangalore/wendys-burgers-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/2/19813432/cd6ce0f63cbf06f343de64700ee68ffe_o2_featured_v2.jpg
39,Aromas Of Biryani,https://www.zomato.com/bangalore/aromas-of-biryani-1-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/8/18585428/13bb7ab3d052256f7d4b17cbb404dd5e_o2_featured_v2.jpg
